@RELATION mood_classification

@ATTRIBUTE "Pitch" NUMERIC
@ATTRIBUTE "Speech Rate" NUMERIC
@ATTRIBUTE "Speech Duration" NUMERIC
@ATTRIBUTE "Mood" {0,1,2,3,4,5,6,7,8,9}

@DATA
158.36,84,9.8,3
243.79,166,5.11,9
215.16,93,15.38,3
217.27,132,9.9,6
209.2,195,8.74,4
162.59,103,10.68,7
202.39,147,5.72,6
177.01,90,13.17,7
334.3,173,11.95,0
222.16,161,6.33,6
262.87,184,10.29,0
156.15,93,9.11,7
142.58,129,12.75,2
234.84,122,12.03,5
210.48,156,12.64,5
131.44,54,12.07,1
242.51,119,7.05,5
147.14,51,14.54,1
123.83,81,13.96,8
205.88,150,6.77,4
206.98,70,15.34,3
159.11,112,13.44,3
190.7,106,8.17,3
308.52,187,5.6,0
124.43,66,14.36,1
258.54,193,11.79,4
231.78,111,13.9,5
135.42,73,11.32,1
212.14,132,9.76,6
234.85,139,3.76,9
246.16,145,3.24,9
234.82,147,9.57,6
150.66,62,14.84,1
250.27,212,10.85,4
168.04,77,11.15,1
205.25,183,5.42,4
164.26,102,10.05,2
148.5,64,17.66,8
126.04,55,15.51,1
207.67,127,5.06,6
244.36,166,5.64,9
261.77,150,7.37,5
128.3,70,11.59,8
211.58,100,9.79,3
262.05,172,11.64,0
157.27,80,11.41,3
277.4,146,7.57,9
321.21,146,8.12,0
137.68,72,11.97,1
291.47,185,6.87,0
202.08,71,10.48,3
202.95,83,11.15,3
153.98,107,15.91,2
261.08,146,4.78,9
190.4,106,13.0,3
237.82,159,6.51,6
112.47,72,14.82,8
276.25,150,7.65,0
166.9,110,10.37,3
251.61,159,5.3,9
133.43,51,18.29,1
324.66,188,6.82,0
213.46,174,10.71,4
157.1,116,14.92,3
178.55,99,10.93,7
172.6,112,9.35,7
158.1,99,12.49,7
132.89,53,13.77,1
150.08,92,13.03,3
154.56,111,14.38,7
299.61,189,5.99,0
230.67,132,9.97,5
164.26,104,11.22,2
173.73,122,15.39,2
130.57,82,11.86,8
223.94,163,9.61,6
212.04,95,13.23,3
154.95,67,14.93,1
154.2,101,14.96,2
135.07,51,10.47,1
236.92,162,3.22,9
225.84,201,5.53,4
196.55,77,9.28,3
175.19,102,14.3,3
122.87,68,16.86,1
171.55,116,13.46,3
202.78,204,11.91,4
131.48,73,13.16,8
276.39,140,4.46,9
114.08,62,17.23,8
120.65,69,12.99,8
203.39,187,5.41,4
194.38,101,11.11,3
294.83,144,4.42,9
269.64,149,7.5,0
164.55,74,18.65,1
209.62,152,9.7,6
201.86,150,8.86,6
279.78,161,6.15,9
239.38,151,5.17,6
262.82,126,9.67,5
160.71,62,17.0,1
247.35,159,12.59,5
168.54,130,10.07,2
343.87,178,5.06,0
126.66,56,12.05,8
275.0,173,7.82,0
215.37,84,15.95,3
210.46,87,9.85,3
291.81,167,5.36,9
120.24,69,18.09,8
345.18,151,8.07,0
252.71,162,5.13,4
121.95,61,13.13,1
202.57,171,10.27,4
193.72,102,8.07,3
247.72,165,8.54,4
188.36,128,13.38,5
153.13,129,13.74,2
181.89,172,8.48,6
275.16,141,4.47,9
156.94,72,18.96,1
277.37,180,8.09,0
184.7,139,6.93,6
158.79,75,15.13,1
143.11,109,14.54,2
155.55,60,15.84,1
230.24,202,7.41,4
149.4,93,13.01,2
144.41,65,16.55,1
161.02,115,8.33,7
240.07,162,7.2,4
233.42,132,11.02,5
183.54,141,7.13,6
161.1,74,11.8,3
135.03,64,17.31,1
226.89,219,6.07,4
250.94,171,10.41,0
149.21,102,15.56,2
280.94,145,8.25,0
244.67,155,7.28,9
129.53,63,15.25,1
269.64,199,10.94,0
140.88,115,12.83,2
118.4,87,13.17,8
163.47,68,15.05,1
160.0,96,17.12,2
216.21,111,9.57,3
225.75,151,6.08,4
172.49,105,10.38,2
172.76,127,15.0,2
192.76,101,14.67,3
159.57,102,14.34,2
122.39,55,13.67,1
160.12,68,16.72,1
186.36,148,10.76,5
134.86,66,12.51,1
117.06,84,10.96,8
190.15,143,5.5,6
240.85,121,9.06,6
260.03,140,6.88,0
237.02,111,7.25,5
236.57,215,7.51,4
243.54,130,6.28,6
165.39,118,16.06,2
168.1,106,15.03,3
174.58,112,14.07,7
165.06,73,9.58,3
299.83,171,7.96,0
273.25,147,6.61,9
186.28,132,7.77,6
211.21,108,14.53,3
239.99,181,10.02,4
126.51,54,10.02,1
147.4,52,19.51,1
171.48,95,10.97,2
222.61,147,6.4,6
221.42,179,9.08,4
204.26,155,9.03,5
131.36,89,16.01,8
207.23,112,8.59,3
318.51,181,5.92,0
105.65,53,15.7,8
281.88,133,4.56,9
169.74,111,12.45,2
214.41,155,9.87,6
254.75,185,5.45,0
222.67,204,7.89,4
207.2,170,9.6,6
254.87,168,6.32,9
204.14,159,9.43,5
223.49,199,10.06,4
152.57,63,13.37,1
198.0,154,8.2,6
154.48,125,17.68,2
104.82,50,11.1,8
205.19,198,6.37,4
281.68,165,4.28,9
233.64,151,13.91,5
334.54,174,5.18,0
256.23,118,11.37,5
145.13,118,13.01,7
216.31,171,5.56,6
149.83,63,17.6,1
210.41,129,14.88,5
163.11,107,13.37,7
257.21,176,8.95,4
193.8,174,6.68,6
135.61,67,19.52,8
181.52,134,6.72,6
137.15,62,19.55,1
233.66,161,9.31,6
188.4,132,11.22,5
190.08,130,5.65,6
155.1,67,14.55,1
248.31,163,11.18,4
159.56,105,10.98,2
151.64,100,10.68,7
273.0,166,7.01,9
193.38,133,6.52,6
247.19,156,11.91,5
210.97,168,8.23,6
296.87,147,4.28,9
124.32,68,19.43,8
252.76,187,10.63,4
155.24,121,10.81,2
303.27,195,9.44,0
114.86,54,16.76,8
223.3,200,8.1,4
227.61,118,13.39,5
295.77,166,3.54,9
177.98,102,11.4,3
212.62,93,15.37,3
202.98,154,5.76,6
228.17,197,9.47,4
283.04,158,3.57,9
111.73,67,10.44,8
274.43,160,6.81,9
163.18,94,14.25,7
291.74,168,11.78,0
143.85,112,13.2,7
117.91,53,15.0,8
171.68,93,15.7,2
163.76,95,11.84,2
182.39,105,15.04,3
220.08,168,9.08,6
167.76,93,12.04,7
151.67,100,12.68,7
153.31,113,13.18,3
166.1,91,10.74,2
224.39,175,5.09,6
208.7,138,14.41,5
161.06,98,11.84,7
154.51,102,12.59,3
264.98,148,8.39,5
193.41,159,5.2,6
153.53,78,17.28,1
225.4,165,9.44,6
241.79,192,8.59,4
167.76,101,14.22,7
273.5,159,8.66,0
189.29,140,6.24,6
151.53,68,19.87,1
151.35,113,13.22,2
227.85,166,9.14,6
286.15,150,7.86,0
146.12,58,16.23,1
156.11,102,9.28,3
310.29,145,9.78,0
169.1,97,11.53,7
157.02,70,8.33,3
261.86,142,6.42,9
267.19,191,8.81,4
152.98,107,14.6,3
171.0,128,12.82,7
236.49,124,9.7,6
282.05,178,6.44,0
140.44,129,14.63,7
172.38,112,12.12,2
147.39,104,14.17,7
265.33,125,13.3,5
148.96,90,13.64,2
129.99,55,12.22,8
277.44,194,6.46,0
276.75,149,6.46,9
161.27,72,15.25,3
202.09,159,8.41,6
155.97,124,9.23,7
161.48,77,16.33,1
240.22,140,12.91,5
346.35,148,8.72,0
223.82,172,9.33,4
160.56,124,12.92,2
268.16,155,10.77,5
262.02,152,11.56,4
117.83,73,14.5,8
217.38,117,12.15,5
126.62,74,14.46,1
159.49,111,13.84,3
223.85,156,7.83,6
169.21,69,15.67,1
197.6,164,7.15,6
177.75,99,12.32,2
149.4,95,14.7,7
171.02,122,13.94,2
187.11,144,11.71,5
154.63,96,13.96,2
198.61,136,12.35,5
261.37,181,10.51,4
159.25,102,9.66,3
273.63,145,5.24,9
145.42,60,16.19,1
207.6,175,9.63,4
156.98,110,10.39,7
214.66,102,9.72,3
169.8,116,9.63,7
247.08,190,5.31,4
214.38,135,7.47,6
257.37,144,5.21,0
229.58,203,6.43,4
222.62,165,6.58,6
202.16,161,5.77,6
148.23,92,11.93,2
120.35,61,16.86,1
167.21,127,16.5,2
170.59,103,8.29,3
141.35,121,10.09,2
145.09,58,10.48,1
194.26,89,8.93,3
237.4,219,11.73,4
234.0,157,8.12,5
320.97,166,8.23,0
196.12,116,8.21,5
136.84,52,16.74,8
267.74,150,6.19,9
174.64,73,11.85,3
260.02,141,6.14,9
180.19,88,15.26,3
102.58,59,17.25,8
209.91,159,5.1,4
208.18,88,15.81,3
209.19,119,11.11,5
154.33,106,14.85,7
157.17,57,15.07,1
237.1,166,6.96,6
195.66,147,7.79,5
173.42,104,13.57,2
140.75,74,14.85,1
172.48,117,10.82,7
151.77,58,11.59,1
229.49,153,11.97,4
275.01,174,9.98,0
165.3,88,8.85,3
235.3,168,4.12,9
227.27,152,6.23,4
219.64,181,10.62,4
250.11,144,8.22,5
246.46,111,12.69,5
236.84,219,6.54,4
245.35,145,5.26,6
246.16,155,7.1,4
271.08,139,3.94,9
281.09,133,3.48,9
165.35,120,16.34,2
152.57,91,8.08,7
152.31,80,10.47,3
199.99,151,6.58,6
229.08,123,7.17,6
148.12,94,8.64,7
142.94,112,14.05,7
167.57,51,17.71,1
142.44,113,14.68,7
236.37,153,7.99,9
164.68,69,13.95,1
105.34,54,16.72,8
202.86,154,10.83,5
332.54,194,8.6,0
205.81,174,11.3,4
188.55,112,8.56,5
214.26,179,5.43,6
234.32,129,12.73,5
267.59,195,11.83,0
155.51,124,8.11,7
196.09,178,7.54,6
307.67,159,5.74,0
230.96,187,8.66,4
203.9,178,7.67,6
310.74,176,10.88,0
164.91,129,13.77,7
230.55,177,5.38,4
191.12,143,7.84,5
144.84,54,14.78,1
172.7,94,10.79,7
157.3,69,10.83,1
167.63,60,14.48,1
165.3,112,10.57,3
243.34,122,14.36,5
180.79,118,7.8,5
127.43,78,11.81,1
206.78,129,8.08,6
246.0,135,3.38,9
174.35,100,14.91,7
270.76,159,6.08,9
155.91,117,11.73,2
298.28,156,6.36,0
219.5,130,8.04,6
170.07,95,12.35,7
124.18,76,13.13,1
253.54,196,11.65,4
153.85,94,11.79,7
317.19,142,6.44,0
153.12,102,11.23,7
180.67,144,8.95,6
238.91,173,8.5,6
160.23,123,13.53,2
250.74,203,5.71,4
259.94,190,9.28,0
206.83,201,5.19,4
191.59,169,7.96,6
164.73,121,14.89,7
231.1,158,5.77,9
308.35,162,9.94,0
159.54,74,10.23,1
195.25,83,11.99,3
203.54,120,11.39,3
217.04,166,8.08,6
199.7,132,5.64,6
243.27,165,5.52,4
161.46,75,13.84,3
131.2,75,11.01,1
216.63,144,9.16,6
124.13,59,18.28,1
278.59,158,6.18,9
102.81,50,14.95,8
230.43,131,7.18,6
229.37,211,9.66,4
249.21,180,9.54,4
276.53,189,6.99,0
216.89,111,11.28,3
287.75,142,3.68,9
282.85,141,3.95,9
154.62,89,15.03,3
123.95,77,11.1,1
150.08,105,17.42,2
225.41,211,10.14,4
218.22,109,15.5,3
155.71,130,13.26,2
258.97,165,11.37,4
116.46,64,14.94,8
128.21,52,19.86,8
169.68,130,9.75,7
227.0,144,13.46,5
286.39,157,7.56,9
239.17,149,7.27,6
247.81,202,7.85,4
221.3,184,7.86,4
206.53,85,13.62,3
237.21,164,7.86,6
237.1,171,6.0,4
219.8,218,7.79,4
165.9,107,10.37,2
116.44,52,12.27,8
156.01,55,18.55,1
158.94,108,13.73,3
197.94,174,8.98,6
162.64,100,10.57,7
193.98,134,9.17,6
278.09,165,4.59,9
251.02,181,8.03,4
101.89,82,10.06,8
121.83,63,11.0,1
140.12,61,11.36,1
163.28,85,9.35,3
172.27,97,11.05,7
179.28,95,10.78,7
248.78,212,10.56,4
145.21,106,11.03,7
224.63,142,9.86,6
254.74,134,12.34,5
190.84,159,13.98,5
321.65,171,6.33,0
299.54,168,5.48,9
163.19,101,16.67,2
136.53,57,10.39,1
200.61,179,8.08,6
172.28,98,9.16,7
163.87,118,16.38,2
123.29,65,14.54,8
298.86,143,3.83,9
258.4,152,10.55,0
134.02,57,19.42,8
262.83,202,6.38,4
147.13,122,14.46,2
236.21,213,6.86,4
226.53,182,5.25,4
129.89,77,14.98,8
333.62,164,11.77,0
278.32,162,4.74,9
114.27,89,13.08,8
158.88,120,11.61,2
140.07,96,8.85,7
136.23,62,12.39,8
165.6,90,12.33,7
103.2,85,14.61,8
270.12,141,5.25,9
222.02,170,6.28,6
325.95,197,8.84,0
265.52,170,9.75,0
195.09,158,8.53,6
217.1,201,9.42,4
253.84,151,11.95,5
162.53,92,13.66,7
292.56,200,9.38,0
206.73,132,7.5,6
340.12,159,10.51,0
195.6,110,14.99,5
132.76,81,17.68,8
168.0,75,10.25,3
177.02,110,11.05,2
297.2,168,4.83,9
161.88,126,14.15,7
146.01,116,14.25,7
219.66,104,8.07,3
121.16,87,17.92,8
329.48,177,7.22,0
278.02,188,5.86,0
251.97,196,10.71,0
151.68,72,12.48,3
111.22,57,13.28,8
114.84,67,10.68,8
256.94,175,8.09,0
241.6,146,9.37,6
245.36,165,4.04,9
137.84,59,11.53,8
161.69,104,10.28,7
175.62,103,11.03,7
120.57,82,12.99,8
212.26,78,8.69,3
175.85,102,10.15,7
292.23,161,7.98,9
163.86,108,12.31,7
110.65,75,10.07,8
131.91,54,17.01,1
211.75,156,10.82,4
124.05,57,18.52,1
168.63,113,14.32,2
267.46,124,7.99,5
219.7,128,9.16,6
237.4,171,9.53,4
145.08,54,14.09,1
124.09,51,18.83,1
243.28,211,7.37,4
261.55,213,7.87,4
153.76,108,10.04,7
163.11,123,8.97,7
157.24,112,10.62,3
222.03,176,8.45,4
256.89,160,8.8,4
296.38,161,11.77,0
189.65,155,12.29,5
224.66,218,6.4,4
214.81,203,8.73,4
215.97,89,8.18,3
166.6,62,10.96,1
156.98,101,9.54,7
174.97,120,13.66,3
136.73,58,14.74,1
153.31,127,11.55,7
318.17,162,7.13,0
257.91,175,11.39,0
240.16,164,9.09,6
198.96,172,6.96,6
116.12,61,19.87,8
133.24,73,17.54,8
135.26,71,15.77,8
260.92,173,8.69,4
169.36,98,12.54,2
230.78,146,7.54,6
196.6,158,6.13,6
146.75,81,18.09,8
265.17,145,5.02,9
151.82,128,14.91,7
250.87,164,3.42,9
105.01,72,16.99,8
268.98,122,13.5,5
304.02,142,7.53,0
107.77,68,13.57,8
345.39,150,11.22,0
165.41,129,16.32,2
255.48,136,13.11,5
166.0,103,9.79,3
199.62,144,7.5,6
235.67,140,7.02,6
217.21,104,11.69,3
243.23,219,10.08,4
146.22,66,13.32,8
203.72,160,12.75,5
289.32,197,10.48,0
239.2,139,7.17,9
230.0,136,8.69,5
140.51,80,15.89,8
251.15,137,8.47,5
337.86,144,5.05,0
266.18,113,9.78,5
315.6,191,8.69,0
206.5,162,7.71,6
196.09,112,12.77,3
243.61,201,8.03,4
116.92,76,14.63,8
138.49,69,11.4,1
292.9,145,7.45,9
151.61,122,15.36,2
343.87,166,5.32,0
150.32,56,11.11,1
334.8,200,11.49,0
132.75,79,19.6,1
213.5,136,5.03,6
237.86,209,9.99,4
168.96,70,10.05,1
156.62,101,10.0,7
112.53,65,15.14,8
161.08,92,11.14,2
216.64,117,10.72,3
316.63,178,9.04,0
125.07,88,18.35,8
329.35,163,6.34,0
280.7,150,6.09,9
151.05,62,16.12,1
160.04,129,17.59,2
258.17,139,3.37,9
140.47,60,12.16,1
223.21,166,8.41,6
147.39,94,10.02,7
287.95,138,3.48,9
251.64,169,6.93,0
205.5,170,8.47,4
227.38,214,9.09,4
162.92,50,14.27,1
261.21,172,11.35,4
204.02,133,5.93,6
327.48,152,6.69,0
257.48,181,6.38,4
203.21,130,9.41,6
295.38,145,3.69,9
219.29,118,7.75,5
271.24,162,6.32,9
297.96,191,9.29,0
225.09,153,8.68,6
301.9,172,5.83,0
154.56,90,14.48,7
205.48,160,7.68,6
284.64,160,7.02,9
243.42,174,5.69,4
340.81,158,10.2,0
268.7,143,9.76,5
190.81,89,13.9,3
154.17,100,9.14,3
211.48,99,9.79,3
150.63,94,10.87,7
170.01,92,13.31,2
166.67,55,11.28,1
224.91,178,7.94,6
244.43,134,14.03,5
150.58,114,12.37,2
105.92,52,15.33,8
145.19,124,12.45,2
242.24,116,7.17,5
245.07,200,11.44,4
238.64,157,5.64,9
281.5,195,5.07,0
140.65,106,17.34,2
246.11,123,5.37,6
203.56,146,8.68,5
244.02,172,5.17,6
341.31,173,8.86,0
145.58,90,8.5,7
145.09,73,12.39,1
134.91,60,15.79,8
160.58,115,14.65,3
263.52,147,4.34,9
302.43,161,11.73,0
259.79,186,6.93,4
146.85,66,15.33,8
225.57,214,7.41,4
133.02,60,10.69,8
261.67,151,8.65,0
229.46,157,7.79,6
264.08,181,7.35,4
177.91,115,12.86,7
173.85,122,10.71,7
226.15,218,5.49,4
167.52,69,18.48,1
134.95,51,14.25,1
169.62,87,15.72,3
182.58,78,11.4,3
137.26,56,15.24,1
144.93,97,16.97,2
262.91,159,6.26,9
268.83,174,11.82,4
340.4,191,5.78,0
141.66,77,18.37,1
131.19,77,14.11,8
259.59,154,6.65,0
273.83,169,7.81,0
137.26,82,19.36,8
235.33,112,12.9,5
151.49,69,10.76,1
158.93,85,9.29,3
287.15,131,3.7,9
298.52,189,8.33,0
264.43,182,11.63,0
264.06,173,7.48,0
164.6,53,12.45,1
213.16,97,10.97,3
247.6,153,4.77,9
261.91,154,11.79,5
158.8,125,14.98,2
162.91,79,14.84,1
172.02,102,9.26,3
101.55,87,17.41,8
143.66,130,10.22,2
165.35,128,10.38,2
164.61,122,12.59,7
202.75,155,6.45,4
184.33,75,11.99,3
251.05,141,5.0,9
190.35,128,13.99,5
186.27,78,10.6,3
319.18,148,7.51,0
143.77,67,16.86,1
267.72,154,4.64,9
152.54,98,9.37,3
170.52,119,11.67,3
197.23,105,11.77,3
168.12,76,8.81,3
251.66,183,9.93,4
244.3,159,3.62,9
237.86,139,6.07,6
192.46,119,9.91,5
236.88,126,7.03,5
253.77,147,6.4,9
200.21,166,7.27,6
219.27,174,9.18,4
297.96,152,5.42,9
235.22,168,7.79,9
188.01,173,9.62,6
232.67,130,7.27,9
163.15,80,18.39,1
136.21,69,17.74,8
268.33,163,5.08,0
164.28,109,12.86,3
150.53,80,15.91,1
213.33,144,9.71,5
169.67,94,13.28,2
180.82,153,7.42,5
173.61,104,12.08,2
153.0,66,16.79,1
148.82,108,9.2,7
336.57,162,10.48,0
173.82,70,11.42,3
206.73,147,7.63,5
261.87,111,11.79,5
213.93,107,11.99,3
164.59,82,8.23,3
208.72,165,5.47,4
239.49,195,5.21,4
271.05,150,11.89,0
248.76,146,7.99,5
341.17,186,10.33,0
250.65,204,6.65,4
164.31,122,11.57,7
119.62,63,19.06,8
146.62,59,12.02,1
279.57,131,6.7,9
253.0,134,8.9,5
191.64,156,7.86,5
196.75,91,14.05,3
169.11,68,16.85,1
280.26,188,8.09,0
165.99,107,13.65,7
194.64,71,12.09,3
155.44,75,17.88,1
275.32,155,11.51,0
250.09,158,14.81,5
294.96,166,5.61,9
225.18,141,7.16,5
155.83,100,14.61,2
178.94,123,12.83,7
140.21,116,12.1,7
172.88,110,10.34,7
234.38,133,9.91,6
190.08,178,5.08,6
153.03,61,19.47,1
254.53,160,7.3,9
159.54,110,12.6,3
252.87,168,8.14,4
233.2,218,9.76,4
166.2,90,14.72,7
230.27,142,4.09,9
231.57,147,4.86,9
129.58,76,14.2,8
291.64,150,7.71,9
127.01,56,14.22,1
259.84,144,11.97,5
207.71,103,9.35,3
173.52,97,13.81,7
237.29,141,9.34,6
169.38,55,15.47,1
154.29,107,14.09,7
253.27,157,5.79,4
251.16,195,5.96,4
275.19,191,11.52,0
304.83,143,11.94,0
156.5,74,13.57,3
241.58,165,7.16,9
163.53,119,12.14,2
162.49,128,12.05,2
268.02,204,11.4,4
147.23,125,11.25,2
249.88,217,11.1,4
236.8,149,5.38,9
156.41,87,10.42,3
333.05,147,5.29,0
202.75,92,10.43,3
113.29,87,11.65,8
185.05,113,9.54,5
182.03,115,15.38,3
174.49,100,10.89,2
158.7,102,12.79,7
115.72,83,16.02,8
260.64,192,9.99,0
141.1,90,14.78,2
313.99,198,9.14,0
208.0,151,6.28,6
235.27,162,8.14,6
146.95,99,14.47,2
226.55,175,6.08,6
233.99,129,8.16,6
155.1,77,12.74,3
159.24,103,14.66,7
156.97,127,13.68,7
251.08,159,5.63,4
230.35,187,8.94,4
214.86,113,12.77,3
111.99,63,12.6,8
163.34,126,17.18,2
169.51,86,15.69,3
154.75,117,14.01,7
142.19,53,18.18,8
154.18,127,12.78,7
189.61,130,13.86,5
178.35,95,12.68,3
175.04,130,13.84,7
123.46,57,19.07,8
160.44,93,14.18,7
187.2,175,5.29,6
168.38,105,11.93,7
154.77,111,9.77,7
132.85,54,19.96,1
166.55,97,14.34,7
259.1,154,6.07,9
147.83,54,16.16,8
282.7,179,6.13,0
294.02,197,6.99,0
194.66,141,8.78,6
325.18,186,11.3,0
296.56,140,5.9,0
117.13,52,17.18,8
213.47,100,10.8,3
127.68,79,11.42,8
149.11,97,15.59,2
247.63,110,9.57,5
156.86,114,13.3,7
235.17,208,8.45,4
228.6,214,8.08,4
234.18,154,7.75,9
183.42,83,10.33,3
315.07,186,8.93,0
272.91,152,7.55,0
160.07,75,14.8,3
281.68,151,4.86,9
254.38,153,4.6,9
115.03,51,17.37,8
252.93,154,5.91,4
302.52,197,8.14,0
150.93,126,13.18,2
201.66,215,8.11,4
169.32,94,14.23,7
120.9,75,14.99,8
293.86,164,6.21,9
247.74,161,6.58,9
298.88,176,10.45,0
192.3,123,11.19,5
148.76,89,19.42,8
228.83,168,6.56,6
141.32,117,14.43,2
259.74,214,5.79,4
153.68,114,10.95,2
148.67,105,12.01,7
258.57,110,10.81,5
120.91,74,18.1,8
